,Quantidade Pessoas,Valor Pagamento,Razao
MINISTERIO DA EDUCACAO,10048,4689917.540000176,466.75134753186467
MINISTERIO DO DESENVOLVIMENTO SOCIAL,3855,1770861.2000000393,459.3673670557819
MINISTERIO DA JUSTICA E SEGURAN̤A PUBLICA,3815,4517780.740000027,1184.215134993454
MINISTERIO DA DEFESA,2874,2679396.0499999956,932.2881176061223
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",2862,1395824.3100000028,487.70940251572426
MINISTERIO DA FAZENDA,2534,1442520.9600000114,569.2663614838245
MINISTERIO DA SAUDE,2448,2698618.639999969,1102.376895424824
PRESIDENCIA DA REPUBLICA,1989,1186401.459999998,596.4813775766708
"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",1657,694187.819999998,418.9425588412782
MINISTERIO DO MEIO AMBIENTE,1597,1386290.8600000096,868.0593988728928
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",1450,864468.3200000002,596.1850482758622
MINISTERIO DO TRABALHO,1040,666187.9700000046,640.5653557692352
MINISTERIO DA INTEGRACAO NACIONAL,607,332873.90999999933,548.3919439868193
"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",513,455863.35000000044,888.6225146198839
MINISTERIO DE MINAS E ENERGIA,450,385607.7899999996,856.9061999999991
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",294,342386.26,1164.5791156462585
MINISTERIO DA CULTURA,261,146939.41999999984,562.9862835249036
"MINIST. DA TRANSPARENCIA, FISCALIZACAO E CGU",186,93422.8499999999,502.27338709677366
MINISTERIO DAS CIDADES,125,63284.18,506.27344
MINISTERIO DO ESPORTE,80,57629.549999999974,720.3693749999996
MINISTERIO DO TURISMO,49,64985.16,1326.2277551020409
MINISTERIO DAS RELACOES EXTERIORES,11,25874.57,2352.2336363636364
